date,dau
2017-02-02,2198
2017-02-03,2107
2017-02-04,1472
2017-02-05,1353
2017-02-06,1935
2017-02-07,2183
2017-02-08,2342
2017-02-09,2447
2017-02-10,2170
2017-02-11,1644
2017-02-12,1604
2017-02-13,2064
2017-02-14,2159
2017-02-15,2335
2017-02-16,2349
2017-02-17,2559
2017-02-18,1792
2017-02-19,1822
2017-02-20,2241
2017-02-21,2356
2017-02-22,2315
2017-02-23,2101
2017-02-24,2036
2017-02-25,1533
2017-02-26,1517
2017-02-27,2024
2017-02-28,2185
2017-03-01,2190
2017-03-02,2042
2017-03-03,2088
2017-03-04,1637
2017-03-05,1571
2017-03-06,2193
2017-03-07,2298
2017-03-08,2256
2017-03-09,2161
2017-03-10,1995
2017-03-11,1655
2017-03-12,1585
2017-03-13,2382
2017-03-14,2172
2017-03-15,2234
2017-03-16,2226
2017-03-17,2078
2017-03-18,1538
2017-03-19,1551
2017-03-20,2108
2017-03-21,2354
2017-03-22,2360
2017-03-23,2668
2017-03-24,2256
2017-03-25,1613
2017-03-26,1554
2017-03-27,2253
2017-03-28,2368
2017-03-29,2346
2017-03-30,2523
2017-03-31,2155
2017-04-01,2105
2017-04-02,1721
2017-04-03,2156
2017-04-04,2625
2017-04-05,2464
2017-04-06,2416
2017-04-07,2185
2017-04-08,1729
2017-04-09,1518
2017-04-10,2371
2017-04-11,2233
2017-04-12,2203
2017-04-13,2085
2017-04-14,1778
2017-04-15,1420
2017-04-16,1377
2017-04-17,1996
2017-04-18,2248
2017-04-19,2127
2017-04-20,2208
2017-04-21,2081
2017-04-22,1533
2017-04-23,1377
2017-04-24,2051
2017-04-25,2133
2017-04-26,3632
2017-04-27,2813
2017-04-28,2313
2017-04-29,1522
2017-04-30,1374
2017-05-01,2287
2017-05-02,2310
2017-05-03,2410
2017-05-04,2442
2017-05-05,2061
2017-05-06,1303
2017-05-07,1218
2017-05-08,1786
2017-05-09,1896
2017-05-10,1867
2017-05-11,1950
2017-05-12,1930
2017-05-13,1164
2017-05-14,1088
2017-05-15,1948
2017-05-16,2557
2017-05-17,2548
2017-05-18,2516
2017-05-19,2212
2017-05-20,1687
2017-05-21,1503
2017-05-22,1897
2017-05-23,1995
2017-05-24,2040
2017-05-25,2003
2017-05-26,2002
2017-05-27,1397
2017-05-28,1319
2017-05-29,1595
2017-05-30,1962
2017-05-31,2073
2017-06-01,2450
2017-06-02,2221
2017-06-03,1343
2017-06-04,1362
2017-06-05,2143
2017-06-06,2225
2017-06-07,2082
2017-06-08,2055
2017-06-09,1857
2017-06-10,1373
2017-06-11,1431
2017-06-12,2017
2017-06-13,2027
2017-06-14,2202
2017-06-15,2116
2017-06-16,1958
2017-06-17,1386
2017-06-18,1209
2017-06-19,1883
2017-06-20,2018
2017-06-21,2036
2017-06-22,2119
2017-06-23,1988
2017-06-24,1416
2017-06-25,1375
2017-06-26,1969
2017-06-27,2485
2017-06-28,2502
2017-06-29,2451
2017-06-30,2308
2017-07-01,2039
2017-07-02,1839
2017-07-03,1820
2017-07-04,1854
2017-07-05,2502
2017-07-06,2534
2017-07-07,2247
2017-07-08,1817
2017-07-09,1662
2017-07-10,2374
2017-07-11,2537
2017-07-12,2276
2017-07-13,2397
2017-07-14,2378
2017-07-15,1647
2017-07-16,1596
2017-07-17,2259
2017-07-18,2432
2017-07-19,2351
2017-07-20,2310
2017-07-21,2335
2017-07-22,1603
2017-07-23,1590
2017-07-24,2321
2017-07-25,2206
2017-07-26,2501
2017-07-27,2341
2017-07-28,2181
2017-07-29,1676
2017-07-30,1513
2017-07-31,2292
2017-08-01,2322
2017-08-02,597
